"source","target","ligand.complex","ligand","receptor.complex","receptor","receptor.prop","ligand.prop","ligand.expr","receptor.expr","ligand.sum","receptor.sum","prod_weight","edge_specificity"
"AC-like","Microglia/Macrophages","MDK","MDK","ALK","ALK",0.348148148148148,0.948665297741273,1.52969637718312,0.300420496393438,14.3971530363283,1.93529224260472,0.459552144964598,0.0164934542694413
"AC-like","Microglia/Macrophages","PROS1","PROS1","AXL","AXL",0.625925925925926,0.782340862422998,0.976808801182584,0.611721109039149,9.06061720366582,6.6461095926131,0.597534563178611,0.00992288024953826
"AC-like","Microglia/Macrophages","C3","C3","C3AR1","C3AR1",0.253703703703704,0.681724845995893,0.831217195385605,0.21115480739985,10.9513898098503,2.58005056067493,0.175515506799091,0.00621180820224893
"AC-like","Microglia/Macrophages","RPS19","RPS19","C5AR1","C5AR1",0.138888888888889,0.997946611909651,2.13699834526588,0.108514216731933,18.8007583171587,1.41095899999601,0.231894701593963,0.00874180400369865
"AC-like","Microglia/Macrophages","CX3CL1","CX3CL1","CX3CR1","CX3CR1",0.387037037037037,0.268993839835729,0.260691503793097,0.349693951767678,3.53447537027954,2.7272297609775,0.0911622421536667,0.00945732494040662
"AC-like","Microglia/Macrophages","WNT5A","WNT5A","FZD6","FZD6",0.3,0.170431211498973,0.157848141234472,0.258189319424782,1.74120687293921,2.31079699074856,0.0407547041577952,0.0101289768570317
"AC-like","Microglia/Macrophages","PSAP","PSAP","GPR37","GPR37",0.677777777777778,0.997946611909651,2.10060879577074,0.693033991449968,18.8645399940976,5.36240440045309,1.45579329820791,0.014391098093326
"AC-like","Microglia/Macrophages","PSAP","PSAP","GPR37L1","GPR37L1",0.294444444444444,0.997946611909651,2.10060879577074,0.261741518602875,18.8645399940976,5.11986615890929,0.549816536195591,0.00569263016717192
"AC-like","Microglia/Macrophages","ARF1","ARF1","PLD2","PLD2",0.251851851851852,0.905544147843943,1.32357863162844,0.198626580131045,11.694083542012,2.21207406087472,0.262897897134885,0.0101629843548852
"AC-like","Microglia/Macrophages","TNFSF12","TNFSF12","TNFRSF12A","TNFRSF12A",0.97037037037037,0.326488706365503,0.317210905975838,1.49701242892759,3.27474814717283,9.8655548274409,0.474868668837212,0.0146985365548768
"AC-like","Microglia/Macrophages","GAS6","GAS6","TYRO3","TYRO3",0.414814814814815,0.213552361396304,0.210619481322418,0.36202687822942,2.92866620309264,3.36115120390267,0.0762499133174548,0.00774607020598515
"AC-like","Microglia/Macrophages","PROS1","PROS1","TYRO3","TYRO3",0.414814814814815,0.782340862422998,0.976808801182584,0.36202687822942,9.06061720366582,3.36115120390267,0.353631040919153,0.0116119336827826
"AC-like","Microglia/Macrophages","PLXNB1","PLXNB1","SEMA4D","SEMA4D",0.274074074074074,0.357289527720739,0.348432154831624,0.228062154349857,4.62318962597996,2.04917486328797,0.0794641878756633,0.00838785129577477
"AC-like","Microglia/Macrophages","MIF","MIF","CD74","CD74",1,0.997946611909651,2.13934562183359,1.92772360828292,17.8742342184408,17.3454370189,4.12406706148531,0.0133018800684289
"AC-like","Microglia/Macrophages","SEMA3A","SEMA3A","NRP1","NRP1",0.561111111111111,0.207392197125257,0.196848293314456,0.54425599549956,2.13311620242612,6.37647879645394,0.107135863840249,0.00787661179303299
"AC-like","Microglia/Macrophages","SEMA3A","SEMA3A","NRP1_PLXNA1","NRP1",0.561111111111111,0.207392197125257,0.196848293314456,0.887771713628994,2.13311620242612,7.07037847521718,0.174756346680718,0.0115871273606841
"AC-like","Microglia/Macrophages","COL1A1","COL1A1","ITGA1_ITGB1","ITGA1",0.222222222222222,0.459958932238193,0.561596745979778,0.740075788741222,8.75265833660959,7.675276439506,0.415624154735488,0.00618680997547381
"AC-like","Microglia/Macrophages","COL1A1","COL1A1","ITGA2_ITGB1","ITGA2",0.494444444444444,0.459958932238193,0.561596745979778,0.874369391439251,8.75265833660959,8.142778139932,0.491043005016603,0.00688980532428379
"AC-like","Microglia/Macrophages","COL4A1","COL4A1","ITGA2_ITGB1","ITGA2",0.494444444444444,0.618069815195072,0.757758386415657,0.874369391439251,10.2248409267045,8.142778139932,0.662560739188247,0.00795786441522446
"AC-like","Microglia/Macrophages","FN1","FN1","ITGA5_ITGB1","ITGA5",0.453703703703704,0.880903490759754,1.26506579821869,0.842746829692117,13.6964953619254,8.89533130921739,1.06613019080073,0.00875061665953201
"AC-like","Microglia/Macrophages","FN1","FN1","ITGAV_ITGB1","ITGB1",0.940740740740741,0.880903490759754,1.26506579821869,1.43950862925509,13.6964953619254,13.5489675249663,1.82107313311128,0.00981322441160053
"AC-like","Microglia/Macrophages","COL1A2","COL1A2","ITGA1_ITGB1","ITGA1",0.222222222222222,0.632443531827515,0.774311565023849,0.740075788741222,10.5067215005225,7.675276439506,0.573049242216475,0.00710608986806428
"AC-like","Microglia/Macrophages","COL4A2","COL4A2","ITGA2_ITGB1","ITGA2",0.494444444444444,0.544147843942505,0.642668117694111,0.874369391439251,9.56017034380043,8.142778139932,0.561929330965609,0.00721844195897625
"AC-like","Microglia/Macrophages","BMP7","BMP7","ACVR1_BMPR2","ACVR1",0.109259259259259,0.636550308008214,0.730915939452529,0.202134692726201,4.32269695248564,3.07983994587524,0.14774346882992,0.0110975051198761
"AC-like","Microglia/Macrophages","BMP7","BMP7","ACVR1_ACVR2A","ACVR1",0.109259259259259,0.636550308008214,0.730915939452529,0.0900250606412845,4.32269695248564,1.3299535262784,0.0658007517728953,0.0114456273060131
"AC-like","Microglia/Macrophages","BMP7","BMP7","BMPR1B_BMPR2","BMPR2",0.368518518518519,0.636550308008214,0.730915939452529,0.320206890318746,4.32269695248564,3.46544978114361,0.234044320056499,0.015623693344391
"AC-like","Microglia/Macrophages","GRN","GRN","TNFRSF1A","TNFRSF1A",0.961111111111111,0.862422997946612,1.17658028117028,1.36049867334732,12.3123973880472,10.0598213780757,1.60073591161879,0.0129236978136853
"AC-like","Microglia/Macrophages","WNT5A","WNT5A","FZD3","FZD3",0.757407407407407,0.170431211498973,0.157848141234472,0.798315789068207,1.74120687293921,6.97247521514458,0.126012663422547,0.0103795096991109
"AC-like","Microglia/Macrophages","JAG1","JAG1","NOTCH3","NOTCH3",0.835185185185185,0.663244353182752,0.750847823923351,0.960921487831687,6.16419881174017,8.6349756407495,0.72150580809961,0.0135550797583106
"AC-like","Microglia/Macrophages","EFNB1","EFNB1","EPHB4","EPHB4",0.203703703703704,0.225872689938398,0.217400178316217,0.162019486251847,1.88940542944449,1.87240688748634,0.0352230652018536,0.00995638673915356
"AC-like","Microglia/Macrophages","BMP7","BMP7","ACVR2A_BMPR1A","ACVR2A",0.12037037037037,0.636550308008214,0.730915939452529,0.142460761229019,4.32269695248564,1.3006481271118,0.104126841128831,0.0185203028314269
"AC-like","Microglia/Macrophages","BMP7","BMP7","ACVR2A_BMPR1B","ACVR2A",0.12037037037037,0.636550308008214,0.730915939452529,0.208097258233829,4.32269695248564,1.71556336154677,0.152101602999475,0.0205103106641314
"AC-like","Microglia/Macrophages","BMP7","BMP7","ACVR1_ACVR2B","ACVR2B",0.101851851851852,0.636550308008214,0.730915939452529,0.0848037678862456,4.32269695248564,1.43542859760236,0.0619844256736894,0.00998955626495134
"AC-like","Microglia/Macrophages","BMP7","BMP7","ACVR2B_BMPR1A","ACVR2B",0.101851851851852,0.636550308008214,0.730915939452529,0.137239468473981,4.32269695248564,1.40612319843576,0.100310515029625,0.0165032050968381
"AC-like","Microglia/Macrophages","BMP7","BMP7","ACVR2B_BMPR1B","ACVR2B",0.101851851851852,0.636550308008214,0.730915939452529,0.202875965478791,4.32269695248564,1.82103843287073,0.148285276900269,0.0188375375467594
"AC-like","Microglia/Macrophages","BMP7","BMP7","BMPR1A_BMPR2","BMPR1A",0.237037037037037,0.636550308008214,0.730915939452529,0.254570393313936,4.32269695248564,3.05053454670864,0.186069558185856,0.0141105710175715
"AC-like","Microglia/Macrophages","GDF11","GDF11","ACVR2A_TGFBR1","ACVR2A",0.12037037037037,0.33264887063655,0.321956441738692,0.231936958369461,2.86789857782035,2.2368675112797,0.0746735978243267,0.0116402692498911
"AC-like","Microglia/Macrophages","GDF11","GDF11","ACVR1B_ACVR2A","ACVR2A",0.12037037037037,0.33264887063655,0.321956441738692,0.17754558454597,2.86789857782035,1.32757109265055,0.0571619446468367,0.0150136199889037
"AC-like","Microglia/Macrophages","GDF11","GDF11","ACVR2B_TGFBR1","ACVR2B",0.101851851851852,0.33264887063655,0.321956441738692,0.226715665614422,2.86789857782035,2.34234258260366,0.0729925689876384,0.0108658685454637
"AC-like","Microglia/Macrophages","GDF11","GDF11","ACVR1B_ACVR2B","ACVR2B",0.101851851851852,0.33264887063655,0.321956441738692,0.172324291790931,2.86789857782035,1.43304616397451,0.0554809158101484,0.0134995611886211
"AC-like","Microglia/Macrophages","LGALS9","LGALS9","HAVCR2","HAVCR2",0.164814814814815,0.215605749486653,0.20096243270874,0.133856677300739,2.55909567392925,1.44659393843863,0.0269001635046654,0.00726644107489721
"AC-like","Microglia/Macrophages","LIF","LIF","IL6ST_LIFR","LIFR",0.842592592592593,0.240246406570842,0.246652486513687,1.2621888609708,2.17288777663,11.0474886763349,0.311322021008327,0.0129690743246688
"AC-like","Microglia/Macrophages","SEMA3A","SEMA3A","NRP1_PLXNA2","PLXNA2",0.325925925925926,0.207392197125257,0.196848293314456,0.412249972067531,2.13311620242612,4.49305754018358,0.0811507034204257,0.00846712153935552
"AC-like","Microglia/Macrophages","SEMA3A","SEMA3A","NRP1_PLXNA3","PLXNA3",0.494444444444444,0.207392197125257,0.196848293314456,0.491713218565502,2.13311620242612,5.08118964313964,0.0967929078747771,0.00893025003148293
"AC-like","Microglia/Macrophages","SEMA4D","SEMA4D","PLXNB2","PLXNB2",0.961111111111111,0.195071868583162,0.180631521377803,1.33662805419517,2.04917486328797,11.316983491808,0.241437158945527,0.0104110470645748
"AC-like","Microglia/Macrophages","TGFB1","TGFB1","TGFBR1_TGFBR2","TGFBR1",0.416666666666667,0.359342915811088,0.366469131417633,0.427795946389236,5.13415746421799,4.27037520731518,0.156774008897248,0.00715054006774696
"AC-like","Microglia/Macrophages","TGFB2","TGFB2","TGFBR1_TGFBR2","TGFBR1",0.416666666666667,0.151950718685832,0.140894604525862,0.427795946389236,1.29101149142871,4.27037520731518,0.0602741406842782,0.0109328876309025
"AC-like","Microglia/Macrophages","TGFB3","TGFB3","TGFBR1_TGFBR2","TGFBR1",0.416666666666667,0.129363449691992,0.120638430378595,0.427795946389236,1.80633062201465,4.27037520731518,0.0516086314947229,0.00669050752622275
"AC-like","Microglia/Macrophages","VEGFA","VEGFA","FLT1_KDR","FLT1",0.188888888888889,0.989733059548255,2.12825833096849,0.182754544687365,14.1890396305032,2.56586453347668,0.388948882253237,0.0106833093034222
"AC-like","Microglia/Macrophages","VEGFB","VEGFB","FLT1_KDR","FLT1",0.188888888888889,0.784394250513347,1.00729522874829,0.182754544687365,8.37758590460919,2.56586453347668,0.184087780895648,0.00856391501556588
"AC-like","Microglia/Macrophages","VEGFA","VEGFA","NRP1","NRP1",0.561111111111111,0.989733059548255,2.12825833096849,0.54425599549956,14.1890396305032,6.37647879645394,1.15831735660149,0.0128024663325213
"AC-like","Microglia/Macrophages","VEGFA","VEGFA","NRP2","NRP2",0.785185185185185,0.989733059548255,2.12825833096849,0.892874206206122,14.1890396305032,7.90875351843134,1.90026696786505,0.0169337668804389
"AC-like","Microglia/Macrophages","VEGFB","VEGFB","NRP1","NRP1",0.561111111111111,0.784394250513347,1.00729522874829,0.54425599549956,8.37758590460919,6.37647879645394,0.548226467484357,0.0102626658601221
"AC-like","Microglia/Macrophages","SPP1","SPP1","CD44","CD44",0.981481481481482,1,2.33590048220979,1.55016844853914,20.9473703501564,13.1799285855865,3.62103922644898,0.0131156754471475
"AC-like","Microglia/Macrophages","SPP1","SPP1","ITGA4_ITGB1","ITGA4",0.133333333333333,1,2.33590048220979,0.693985016505652,20.9473703501564,6.74876471382899,1.62107993470192,0.0114670216318702
"AC-like","Microglia/Macrophages","COL9A3","COL9A3","ITGA1_ITGB1","ITGA1",0.222222222222222,0.550308008213552,0.611004426334825,0.740075788741222,6.74080163283094,7.675276439506,0.452189582744123,0.00874007138514323
"AC-like","Microglia/Macrophages","COL9A2","COL9A2","ITGA1_ITGB1","ITGA1",0.222222222222222,0.236139630390144,0.217016458796833,0.740075788741222,3.42236906318684,7.675276439506,0.160608626913893,0.00611431770745073
"AC-like","Microglia/Macrophages","COL8A1","COL8A1","ITGA1_ITGB1","ITGA1",0.222222222222222,0.751540041067762,0.965257280816944,0.740075788741222,10.7387731721076,7.675276439506,0.714363543438807,0.00866703573684554
"AC-like","Microglia/Macrophages","COL7A1","COL7A1","ITGA1_ITGB1","ITGA1",0.222222222222222,0.388090349075975,0.387866993422755,0.740075788741222,3.39061042429255,7.675276439506,0.287050971084032,0.0110302943281658
"AC-like","Microglia/Macrophages","COL6A3","COL6A3","ITGA1_ITGB1","ITGA1",0.222222222222222,0.17864476386037,0.180106963149762,0.740075788741222,3.49159608309213,7.675276439506,0.133292802810847,0.00497380410216244
"AC-like","Microglia/Macrophages","COL6A2","COL6A2","ITGA1_ITGB1","ITGA1",0.222222222222222,0.91170431211499,1.38556780041278,0.740075788741222,14.7107511593664,7.675276439506,1.02542518274493,0.00908186628188668
"AC-like","Microglia/Macrophages","COL6A1","COL6A1","ITGA1_ITGB1","ITGA1",0.222222222222222,0.936344969199179,1.47351221309193,0.740075788741222,14.9399069909833,7.675276439506,1.09051071332384,0.00951016422089291
"AC-like","Microglia/Macrophages","COL5A3","COL5A3","ITGA1_ITGB1","ITGA1",0.222222222222222,0.361396303901437,0.380895008437238,0.740075788741222,5.02207262537742,7.675276439506,0.281891173796783,0.00731314968817079
"AC-like","Microglia/Macrophages","COL5A2","COL5A2","ITGA1_ITGB1","ITGA1",0.222222222222222,0.478439425051335,0.498992834470116,0.740075788741222,6.80553778304858,7.675276439506,0.369292515546689,0.00706991235752986
