source,target,ligand,receptor,ligand_expression,receptor_expression,communication_score,attn_score,p_value,pathway_name,annotation,evidence
Microglia/Macrophages,OPC-like-tumor,OSTN,NPR3,0.0940048024058342,0.0005520923878066242,0.7447300553321838,0.04913861124189037,0.0,OSTN,Secreted Signaling,PMID: 29326144
Microglia/Macrophages,OPC-like-tumor,PMCH,MERTK,0.11196694523096085,0.15143983066082,0.7447300553321838,0.04913861124189037,0.0,PMCH,Secreted Signaling,PMID: 30501104
Microglia/Macrophages,OPC-like-tumor,PROS1,AXL,0.0,0.04277822747826576,0.7447300553321838,0.04913861124189037,0.0,PROS,Secreted Signaling,PMID: 29531161
Microglia/Macrophages,OPC-like-tumor,PROS1,TYRO3,0.0,0.4796324074268341,0.7447300553321838,0.04913861124189037,0.0,PROS,Secreted Signaling,PMID: 30501104
Microglia/Macrophages,OPC-like-tumor,PSAP,GPR37L1,0.00703545892611146,0.027425823733210564,0.7447300553321838,0.04913861124189037,0.0,PSAP,Secreted Signaling,PMID: 23690594
Microglia/Macrophages,OPC-like-tumor,PSAP,GPR37,0.00703545892611146,0.1104712262749672,0.7447300553321838,0.04913861124189037,0.0,PSAP,Secreted Signaling,PMID: 23690594
Microglia/Macrophages,OPC-like-tumor,PTHLH,PTH1R,0.002977787982672453,0.31676989793777466,0.7447300553321838,0.04913861124189037,0.0,PTH,Secreted Signaling,PMID: 29577935
Microglia/Macrophages,OPC-like-tumor,RARRES2,CMKLR1,0.07401113212108612,0.0006570788682438433,0.7447300553321838,0.04913861124189037,0.0,CHEMERIN,Secreted Signaling,PMID: 24671882
Microglia/Macrophages,OPC-like-tumor,RLN1,RXFP1,0.004361557308584452,0.001017166767269373,0.7447300553321838,0.04913861124189037,0.0,RLN,Secreted Signaling,KEGG: hsa04080
Microglia/Macrophages,OPC-like-tumor,SAA1,FPR2,0.0032522953115403652,0.033426132053136826,0.7447300553321838,0.04913861124189037,0.0,SAA,Secreted Signaling,PMID: 22610094
Microglia/Macrophages,OPC-like-tumor,SCGB3A2,MARCO,0.10154804587364197,0.01680496521294117,0.7447300553321838,0.04913861124189037,0.0,UGRP1,Secreted Signaling,PMID: 12847263
Microglia/Macrophages,OPC-like-tumor,SLURP1,CHRNB1,0.0060260361060500145,0.09883520007133484,0.7447300553321838,0.04913861124189037,0.0,SLURP,Secreted Signaling,KEGG: hsa04080
